"","trait","id","lor","se","pval"
"26","Attendance/disability/mobility allowance: Blue badge","ukb-b-1867",0.984501674553539,0.0940786915713216,1.25524195375036e-25
"27","Diagnoses - secondary ICD10: E78.0 Pure hypercholesterolaemia","ukb-b-12651",0.878087889198869,0.0849177408820148,4.62347868852445e-25
"28","Nitrogen dioxide air pollution; 2005","ukb-b-2618",0.275879881393789,0.0268288161226501,8.40964296986914e-25
"29","Taking other prescription medications","ukb-b-20292",0.558642303750879,0.054807044533713,2.13321330044877e-24
"30","Nitrogen dioxide air pollution; 2006","ukb-b-5620",0.272332405495966,0.026815392082263,3.12161603103843e-24
"31","Nitrogen dioxide air pollution; 2007","ukb-b-1285",0.27226629351138,0.0268275629095215,3.35626427306195e-24
"32","Number of treatments/medications taken","ukb-b-3656",0.354767917704713,0.0351624876053528,6.15531853938189e-24
"33","Qualifications: None of the above","ukb-b-17729",0.606821464632355,0.0602016668501082,6.78560504406009e-24
"34","Treatment speciality of consultant (recoded): General surgery","ukb-b-7135",0.569228116307167,0.0565300776409943,7.53805532263323e-24
"35","Types of physical activity in last 4 weeks: None of the above","ukb-b-15869",0.790848657381612,0.0789928773996775,1.35480598615556e-23
"36","Methods of admission to hospital (recoded): Emergency admission: GP","ukb-b-12332",0.734282919181622,0.0734424531529777,1.55393209599936e-23
"37","Number of self-reported non-cancer illnesses","ukb-b-4063",0.356504691101014,0.0356657935031273,1.59153369429679e-23
"38","Main speciality of consultant (recoded): Gastroenterology","ukb-b-8633",0.725857246577589,0.0728252911315754,2.12329821020481e-23
"39","Treatment speciality of consultant (recoded): Cardiology","ukb-b-20300",0.809949545008082,0.0819302513382658,4.79531877303937e-23
"40","Home location at assessment - east co-ordinate (rounded)","ukb-b-1666",0.263712037936178,0.0267938831464984,7.40378417103276e-23
"41","Wheeze or whistling in the chest in last year","ukb-b-18335",0.567068646673071,0.0581280148971411,1.74713849301137e-22
"42","Vascular/heart problems diagnosed by doctor: None of the above","ukb-b-13352",-0.525365311824977,0.0543974756140823,4.55102584907888e-22
"43","pc1","pc1",0.00298124269861701,0.000313555366372258,1.94612008460507e-21
"44","Health satisfaction","ukb-b-2053",0.380273646840072,0.0404100965425656,4.94429935532823e-21
"45","Diagnoses - secondary ICD10: Z72.0 Tobacco use","ukb-b-5115",0.96040006039313,0.103626867502867,1.89904905577023e-20
"46","Main speciality of consultant (recoded): Accident and emergency (A&E)","ukb-b-1350",0.878361270451347,0.0965105927406789,8.93471767700718e-20
"47","Medication for cholesterol, blood pressure or diabetes: None of the above","ukb-b-12014",-0.667341966376252,0.0738075968174323,1.54333916823963e-19
"48","Nitrogen dioxide air pollution; 2010","ukb-b-9942",0.241079623449231,0.0268015285193729,2.36242291147072e-19
"49","Diagnoses - secondary ICD10: Z60.2 Living alone","ukb-b-2895",1.40344518979816,0.157533363596292,5.155256734002e-19
"50","Other serious medical condition/disability diagnosed by doctor","ukb-b-14961",0.528320346753174,0.0593260541106392,5.3209211747922e-19
"51","Body mass index (BMI)","ukb-b-19953",0.237796070385055,0.0269013976624993,9.61106280490057e-19
"52","Main speciality of consultant (recoded): Trauma and orthopaedics","ukb-b-16399",0.553027886392466,0.0628687507130714,1.41091169179226e-18
"53","Main speciality of consultant (recoded): Respiratory medicine","ukb-b-16862",1.0965264094107,0.124835803967167,1.58113845764941e-18
"54","Weight","ukb-b-11842",0.234051761821968,0.0268388869141507,2.76680006061326e-18
"55","Methods of admission to hospital (recoded): Elective admission: Waiting List","ukb-b-9363",0.463619600116829,0.0534420629665314,4.12891140769207e-18
"56","Diagnoses - secondary ICD10: F32.9 Depressive episode, unspecified","ukb-b-20045",1.18765863837952,0.136976560781141,4.30134049914106e-18
"57","Treatment speciality of consultant (recoded): Thoracic medicine","ukb-b-6614",1.13879137327404,0.132669276535292,9.18807842480849e-18
"58","Body mass index (BMI)","ukb-b-2303",0.232660754557709,0.0272223886614986,1.26691490301416e-17
"59","Operative procedures - secondary OPCS: Y98.1 Radiology of one body area (or < 20 minutes)","ukb-b-4817",0.92898494408766,0.108750098610179,1.31482317757653e-17
"60","Main speciality of consultant (recoded): Geriatric medicine","ukb-b-19398",1.04259035129873,0.122280137880127,1.51175575392783e-17
"61","Treatment speciality of consultant (recoded): Accident & emergency (A&E)","ukb-b-997",0.839038909936222,0.0990299278660211,2.40018315693624e-17
"62","Trunk fat mass","ukb-b-20044",0.229943731741215,0.0272027239746916,2.83991636013781e-17
"63","Vascular/heart problems diagnosed by doctor: High blood pressure","ukb-b-14177",0.468736094463507,0.0554949443565989,3.00256455411807e-17
"64","Weight","ukb-b-12039",0.227478953930085,0.0271993471333274,6.09374300384899e-17
"65","Non-cancer illness code, self-reported: hypertension","ukb-b-14057",0.463173561305032,0.0556129337886326,8.18576272709544e-17
"66","Job involves shift work","ukb-b-1712",0.286768767395447,0.0347713794477413,1.62061292063293e-16
"67","Nitrogen oxides air pollution; 2010","ukb-b-12417",0.219165991832221,0.0268038720816755,2.91834109851997e-16
"68","Medication for pain relief, constipation, heartburn: None of the above","ukb-b-11085",-0.442835220498179,0.054227162338892,3.17994592183563e-16
"69","Medication for cholesterol, blood pressure or diabetes: Blood pressure medication","ukb-b-14395",0.619096443501564,0.0759976007983732,3.75343318767979e-16
"70","Frequency of tiredness / lethargy in last 2 weeks","ukb-b-929",0.23461032514653,0.0288006071599058,3.76097609855171e-16
"71","Nap during day","ukb-b-4616",0.340100259634772,0.0417689587462577,3.87465650218987e-16
"72","Diagnoses - secondary ICD10: F10.2 Dependence syndrome","ukb-b-19651",1.76310472887047,0.216643831107796,4.00985173973951e-16
"73","Pack years of smoking","ukb-b-10831",0.345918598946587,0.0427998792718455,6.35914288682678e-16
"74","Mouth/teeth dental problems: Dentures","ukb-b-12930",0.50063098178773,0.0619720074865334,6.56540397224531e-16
"75","Treatment speciality of consultant (recoded): Geriatric medicine","ukb-b-6144",1.13297728101869,0.140775278656777,8.40708813293515e-16
"76","Treatment speciality of consultant (recoded): Gastroenterology","ukb-b-18888",0.56810499352948,0.0712562445437107,1.55238845056066e-15
"77","Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication","ukb-b-11740",0.6074751743573,0.0770530543226024,3.17430411827673e-15
"78","Particulate matter air pollution (pm2.5); 2010","ukb-b-10817",0.210681546511065,0.0267982102479709,3.78722558002267e-15
"79","Particulate matter air pollution (pm2.5) absorbance; 2010","ukb-b-11312",0.210252253127977,0.0268345428861936,4.68341046781113e-15
"80","Shortness of breath walking on level ground","ukb-b-9543",0.793559943292466,0.101289219690904,4.70358950502006e-15
"81","Diagnoses - secondary ICD10: I48 Atrial fibrillation and flutter","ukb-b-6217",1.05569173481528,0.135746472454598,7.43017120801615e-15
"82","Qualifications: O levels/GCSEs or equivalent","ukb-b-18099",-0.437177907348264,0.0563498574845469,8.60897037961841e-15
"83","Average total household income before tax","ukb-b-7408",-0.195701895269568,0.0252980614264427,1.02718123079394e-14
"84","Sources of admission to hospital (recoded): Transfer to other NHS provider: General ward, young physically disabled, A&E","ukb-b-14525",0.892147386486031,0.11618661488746,1.60870667199244e-14
"85","Diagnoses - secondary ICD10: E66.9 Obesity, unspecified","ukb-b-15541",1.16556234453404,0.152179814767904,1.87222124071984e-14
"86","Operative procedures - secondary OPCS: Z94.3 Left sided operation","ukb-b-1567",0.451030072608139,0.0594097259991961,3.15355871801811e-14
"87","Daytime dozing / sleeping (narcolepsy)","ukb-b-5776",0.349762607001308,0.0463412289279244,4.43532239309929e-14
"88","Diagnoses - main ICD10: R07.4 Chest pain, unspecified","ukb-b-10771",0.735516456795071,0.0983556161027213,7.53854287556999e-14
"89","Current employment status: In paid employment or self-employed","ukb-b-6740",-0.399550056620267,0.0536057365080023,9.08998616702163e-14
"90","Treatment speciality of consultant (recoded): Trauma & orthopaedics","ukb-b-8667",0.473732119645356,0.0637410996900073,1.06862943244044e-13
"91","Operative procedures - secondary OPCS: Z27.4 Duodenum","ukb-b-13500",0.689822703863417,0.0932677925118056,1.40188279899934e-13
"92","Non-cancer illness code, self-reported: heart attack/myocardial infarction","ukb-b-15829",0.879188464427045,0.119056865968558,1.52901466397895e-13
"93","Diagnoses - main ICD10: R10.4 Other and unspecified abdominal pain","ukb-b-6223",0.836660783616906,0.114144544529279,2.3043466756611e-13
"94","Non-cancer illness code, self-reported: diabetes","ukb-b-12948",0.702122438746314,0.0968003027476028,4.06712891853818e-13
"95","Treatment/medication code: omeprazole","ukb-b-14960",0.628734728393937,0.0870982327749975,5.24925926208418e-13
"96","Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)","ukb-b-11605",0.627348871550653,0.0869381063708077,5.35232359344513e-13
"97","Leg predicted mass (left)","ukb-b-17271",0.195493451553136,0.0271791375375303,6.34869973496788e-13
"98","Main speciality of consultant (recoded): Urology","ukb-b-16019",0.555994685362257,0.0773678494305763,6.65322174971215e-13
"99","Leg fat-free mass (left)","ukb-b-16099",0.194945489097769,0.0271797792920778,7.3669679009374e-13
"100","Medication for pain relief, constipation, heartburn: Paracetamol","ukb-b-17595",0.418634381940296,0.0585363865026796,8.57128565298232e-13
"101","Chest pain or discomfort","ukb-b-10591",0.454908671109396,0.0636131923808157,8.6042159719079e-13
"102","Operative procedures - main OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract","ukb-b-9473",0.545835130886517,0.0768207870557915,1.20057010753891e-12
"103","Treatment/medication code: amlodipine","ukb-b-9207",0.692526970631427,0.0975611130437116,1.26217264630129e-12
"104","Whole body fat mass","ukb-b-19393",0.192527506971472,0.0272561154180241,1.62191489987546e-12
"105","Diagnoses - secondary ICD10: Z51.2 Other chemotherapy","ukb-b-712",1.26194146261952,0.179700103404885,2.17954830284214e-12
"106","Main speciality of consultant (recoded): Neurosurgery","ukb-b-17965",1.03434569362201,0.147453583442445,2.30408875231648e-12
"107","Diagnoses - secondary ICD10: I20.9 Angina pectoris, unspecified","ukb-b-15686",0.852943474811324,0.122997107278368,4.07190995333409e-12
"108","Treatment/medication code: metformin","ukb-b-14609",0.786932965143496,0.113481187221345,4.07719554853098e-12
"109","Diagnoses - secondary ICD10: Z86.7 Personal history of diseases of the circulatory system","ukb-b-13782",0.8527506675374,0.122997035014352,4.11718740437387e-12
"110","Impedance of leg (left)","ukb-b-14068",-0.188537667242843,0.0272044449134283,4.19654266345952e-12
"111","Diabetes diagnosed by doctor","ukb-b-10753",0.634131449563643,0.0916867445325371,4.63648557552341e-12
"112","Hip circumference","ukb-b-15590",0.185131344874869,0.0267826084598995,4.76616997976926e-12
"113","Vascular/heart problems diagnosed by doctor: Heart attack","ukb-b-11590",0.83576969378666,0.121394690237805,5.78971463472563e-12
"114","Number of blood samples taken","ukb-b-9568",0.393291534588271,0.0573074136058943,6.7505447556492e-12
"115","Leg fat-free mass (right)","ukb-b-12828",0.186022029070853,0.0271772113878378,7.65935643284895e-12
"116","Leg predicted mass (right)","ukb-b-14310",0.185562585782745,0.0271768501392025,8.61274977755856e-12
"117","Diagnoses - secondary ICD10: I25.8 Other forms of chronic ischaemic heart disease","ukb-b-16606",1.01337167328903,0.148924115147759,1.01317909538021e-11
"118","Leg pain on walking","ukb-b-10387",0.588447628896222,0.086756943096571,1.17938065396414e-11
"119","Leg pain on walking : action taken","ukb-b-9960",-0.720773589299784,0.106377676063726,1.23882898458651e-11
"120","Impedance of whole body","ukb-b-19921",-0.183683530105725,0.0271913951652389,1.42630488853885e-11
"121","Impedance of leg (right)","ukb-b-7376",-0.183501704226728,0.0272034375412307,1.52465559145649e-11
"122","Operative procedures - main OPCS: K63.3 Angiocardiography of left side of heart NEC","ukb-b-9592",0.920369623110323,0.136837097664974,1.74361641237514e-11
"123","Chest pain felt during physical activity","ukb-b-12205",0.605002015319491,0.090138797815081,1.92114837026879e-11
"124","Seen a psychiatrist for nerves, anxiety, tension or depression","ukb-b-18336",0.475629647896013,0.0709705004911059,2.05876662461965e-11
"125","Pack years adult smoking as proportion of life span exposed to smoking","ukb-b-7460",0.286727832765422,0.0428013214059444,2.09790866234418e-11
"126","Operative procedures - secondary OPCS: Z94.2 Right sided operation","ukb-b-6222",0.397456475900458,0.0594524999589039,2.3048705284017e-11
"127","Methods of admission to hospital (recoded): Emergency admission","ukb-b-10655",0.60360055237791,0.090431107835067,2.47737725942286e-11
"128","Main speciality of consultant (recoded): Endocrinology","ukb-b-3241",1.37575934401035,0.207042071492363,3.03567480356364e-11
"129","Basal metabolic rate","ukb-b-16446",0.179515005434394,0.0271751512369803,3.95239726397191e-11
"130","Treatment speciality of consultant (recoded): Clinical haematology","ukb-b-12396",1.16531317028741,0.177059946778739,4.65847075855059e-11
"131","Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)","ukb-b-8764",-0.362353875900213,0.0550664382519225,4.69488957955864e-11
"132","Methods of admission to hospital (recoded): Emergency admission: Bed bureau","ukb-b-19447",0.967768007580581,0.147396123828968,5.17671165250747e-11
"133","Arm fat mass (right)","ukb-b-6704",0.17800500804682,0.0272122631850734,6.09649106734165e-11
"134","Vascular/heart problems diagnosed by doctor: Angina","ukb-b-8468",0.718248674077839,0.109855776282338,6.23028998689396e-11
"135","Diagnoses - secondary ICD10: Z86.4 Personal history of psychoactive substance abuse","ukb-b-1585",0.777473527634245,0.119777938852068,8.52924590172888e-11
"136","Non-cancer illness code, self-reported: angina","ukb-b-8650",0.712456850468788,0.109814370916221,8.70820846814793e-11
"137","Arm fat mass (left)","ukb-b-8338",0.176355041982858,0.0272137012837293,9.14937576981154e-11
"138","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis","ukb-b-16207",0.887896272318593,0.138030053319554,1.25414622805684e-10
"139","Ankle spacing width (right)","ukb-b-8607",0.269975704155123,0.0422029797943355,1.58379648337835e-10
"140","PCT where patients GP was registered: SHEFFIELD PCT","ukb-b-12962",0.909026300603275,0.144492161292964,3.15060261060634e-10
"141","Fluid intelligence score","ukb-b-5238",-0.128059018622951,0.0203581642064226,3.16847186379449e-10
"142","Operative procedures - main OPCS: U05.1 Computed tomography of head","ukb-b-4724",0.986646480211582,0.157238627642772,3.50004747968285e-10
"143","PCT responsible for patient data: SHEFFIELD PCT","ukb-b-18381",0.906459270242773,0.144490931524875,3.53092973743161e-10
"144","Treatment/medication code: clopidogrel","ukb-b-19698",1.18183814135394,0.188493695306237,3.61261328679153e-10
"145","Diagnoses - secondary ICD10: Z53.9 Procedure not carried out, unspecified reason","ukb-b-9216",1.35374707422275,0.216057297514633,3.71188849887371e-10
"146","Treatment/medication code: gliclazide","ukb-b-8602",1.04740564585463,0.167262319602044,3.79939774567545e-10
"147","Skin colour","ukb-b-19560",0.180124081200037,0.0287759243330904,3.86111955454807e-10
"148","Diagnoses - secondary ICD10: N39.0 Urinary tract infection, site not specified","ukb-b-6077",1.06067139979381,0.169517030546811,3.92403859290726e-10
"149","Forced expiratory volume in 1-second (FEV1)","ukb-b-19657",-0.178456327121585,0.0285617885299449,4.15530014255775e-10
"150","Forced expiratory volume in 1-second (FEV1), predicted percentage","ukb-b-13405",-0.307218888075976,0.0493261767861006,4.71483185637384e-10
"151","Treatment/medication code: aspirin","ukb-b-8755",0.422613114173876,0.0680043729678379,5.14886313250826e-10
"152","Prospective memory result","ukb-b-4282",0.38612199184125,0.062394440594091,6.07764883450391e-10
"153","Attendance/disability/mobility allowance: Attendance allowance","ukb-b-16671",1.12668869854388,0.182424277729199,6.56630850360306e-10
"154","Arm fat-free mass (left)","ukb-b-19925",0.167783489452667,0.0271746542999416,6.64723947365628e-10
"155","Frequency of depressed mood in last 2 weeks","ukb-b-3822",0.228772113856993,0.0372486610830159,8.16151783908833e-10
"156","Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself","ukb-b-18162",0.469305585664662,0.0768952756415198,1.03979667993951e-09
"157","Treatment/medication code: insulin product","ukb-b-15445",0.991223932313787,0.163000174598658,1.19344509017333e-09
"158","Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)","ukb-b-7337",-0.338928147195355,0.0557736804190677,1.22568267572906e-09
"159","Diagnoses - secondary ICD10: Z50.1 Other physical therapy","ukb-b-10061",1.34202837881392,0.221049500657671,1.26984245814861e-09
"160","Whole body water mass","ukb-b-14540",0.164982576292443,0.0271756521549115,1.27139726644007e-09
"161","Past tobacco smoking","ukb-b-2134",-0.134539233911466,0.0222008007584118,1.36030804405987e-09
"162","Treatment/medication code: simvastatin","ukb-b-11268",0.434516602756813,0.0717215873362254,1.37499593536778e-09
"163","PCT where patients GP was registered: BRISTOL PCT","ukb-b-15671",0.909359418711771,0.150424426401465,1.4914064501725e-09
"164","Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)","ukb-b-13184",-0.343386909852124,0.0568121644348577,1.5010685283981e-09
"165","Treatment/medication code: furosemide","ukb-b-9940",1.10175526876244,0.182379518355388,1.53158864357597e-09
"166","Treatment/medication code: warfarin","ukb-b-13248",1.00745743747107,0.167236883475324,1.70017205104454e-09
"167","Ankle spacing width (left)","ukb-b-2122",0.254529129735855,0.0422761931506386,1.73744249575144e-09
"168","Treatment speciality of consultant (recoded): Urology","ukb-b-7647",0.467465340220265,0.0778161479719013,1.88632384624111e-09
"169","Whole body fat-free mass","ukb-b-13354",0.163227405692514,0.0271857674425387,1.92337695221341e-09
"170","Treatment speciality of consultant (recoded): Adult mental illness","ukb-b-3663",1.19150535192064,0.198966639736894,2.118268249513e-09
"171","Treatment speciality of consultant (recoded): Nephrology","ukb-b-8114",1.3560619258144,0.226522383219385,2.14487905593565e-09
"172","Signal-to-noise-ratio (SNR) of triplet (right)","ukb-b-18697",0.250077381827085,0.0417785437330541,2.15348633823273e-09
"173","Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)","ukb-b-15026",1.16773046892897,0.195198176832037,2.20033384504678e-09
"174","Duration screen displayed","ukb-b-15418",0.24637616158254,0.0411932749778444,2.21798851298805e-09
"175","PCT responsible for patient data: BRISTOL PCT","ukb-b-1390",0.896853407220681,0.150418181269964,2.4855933230484e-09
"176","Diagnoses - secondary ICD10: M10.99 Gout, unspecified (Site unspecified)","ukb-b-12765",1.55603581055039,0.261329147137302,2.61164889522753e-09
"177","Operative procedures - secondary OPCS: Y53.1 Approach to organ under radiological control","ukb-b-17191",0.945971336275771,0.159063987040429,2.72914786487486e-09
"178","Diagnoses - main ICD10: K85 Acute pancreatitis","ukb-b-19388",1.49898820193805,0.253026763083522,3.13768124002738e-09
"179","Medication for pain relief, constipation, heartburn: Aspirin","ukb-b-7137",0.400371513880821,0.067681929146988,3.30896771839533e-09
"180","Number of vehicles in household","ukb-b-3169",-0.190006956936598,0.0321544641896152,3.43786287711725e-09
"181","Main speciality of consultant (recoded): Cardiothoracic surgery","ukb-b-11247",0.939195757748425,0.159080588985916,3.55009179523377e-09
"182","sex","sex",-0.315599541214784,0.0534746273970955,3.59435210842951e-09
"183","Diagnoses - secondary ICD10: J45.9 Asthma, unspecified","ukb-b-17219",0.604959193616115,0.102594578804744,3.71067908887562e-09
"184","Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: From inpatient/daycase care","ukb-b-6727",-2.63618944029717,0.447340161677609,3.79175238191539e-09
"185","Diagnoses - secondary ICD10: I12.0 Hypertensive renal disease with renal failure","ukb-b-19955",1.48539096176761,0.253005381571359,4.33211800753096e-09
"186","Leisure/social activities: Sports club or gym","ukb-b-4000",-0.375643549328654,0.0640755106263326,4.55912390896174e-09
"187","Operative procedures - secondary OPCS: Z27.2 Stomach","ukb-b-12741",0.568939377226936,0.0971495831686179,4.7322629030708e-09
"188","Treatment/medication code: allopurinol","ukb-b-15895",0.941271871929451,0.160979264305145,5.00029832518571e-09
"189","Arm predicted mass (right)","ukb-b-16698",0.158665965012269,0.0271823418580214,5.31181874401202e-09
"190","Job involves heavy manual or physical work","ukb-b-2002",0.221225763881884,0.0380318698031886,5.9966134075487e-09
"191","Main speciality of consultant (recoded): Ophthalmology","ukb-b-9038",0.560940593042235,0.0968084769473228,6.85930685384541e-09
"192","Non-cancer illness code, self-reported: emphysema/chronic bronchitis","ukb-b-7280",0.880793684380887,0.152017180282242,6.8712916894618e-09
"193","Non-cancer illness code, self-reported: high cholesterol","ukb-b-10912",0.406470259174341,0.0703061769474336,7.4068183791887e-09
"194","Arm predicted mass (left)","ukb-b-9093",0.156890285701727,0.0271735364725392,7.75759291852633e-09
"195","Main speciality of consultant (recoded): Infectious diseases","ukb-b-7375",1.19020745014271,0.206851264926948,8.71928926013884e-09
"196","Age completed full time education","ukb-b-6134",-0.222760217311161,0.0388450847470121,9.7754704002196e-09
"197","Alcohol usually taken with meals","ukb-b-16878",-0.449283900173763,0.0786468866349336,1.11215639164886e-08
"198","Treatment speciality of consultant (recoded): Neurosurgery","ukb-b-7189",0.87728730581265,0.153820792614808,1.17504610343695e-08
"199","Mood swings","ukb-b-14180",0.310107683203705,0.0544195271551628,1.20892086339444e-08
"200","Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)","ukb-b-11495",-0.308862590089267,0.0542871506079887,1.27468983088193e-08
"201","Main speciality of consultant (recoded): Nephrology","ukb-b-9513",1.25451372831074,0.220961099383067,1.3665191193145e-08
"202","Willing to attempt cognitive tests","ukb-b-10857",0.769948773887876,0.135622444241049,1.36958464073986e-08
"203","Diagnoses - secondary ICD10: E78.5 Hyperlipidaemia, unspecified","ukb-b-17462",1.0510796726895,0.18528971426686,1.40623147457152e-08
"204","Illness, injury, bereavement, stress in last 2 years: None of the above","ukb-b-17687",-0.304682600750306,0.0537602835332171,1.44955919150963e-08
"205","Diagnoses - secondary ICD10: Z53.0 Procedure not carried out because of contraindication","ukb-b-9019",0.944377986835367,0.167198560747033,1.62096587098099e-08
"206","Falls in the last year","ukb-b-2535",0.232669168751779,0.0412287052326505,1.66745680829065e-08
"207","Diagnoses - secondary ICD10: I50.1 Left ventricular failure","ukb-b-10555",1.24660900639398,0.220942459858277,1.67857981252658e-08
"208","Mother still alive","ukb-b-12909",-0.324083410656811,0.0574980493491116,1.73617160101829e-08
"209","Main speciality of consultant (recoded): Adult mental illness","ukb-b-15085",1.12045153227045,0.198818974132487,1.745144468423e-08
"210","Arm fat-free mass (right)","ukb-b-19520",0.152735110335695,0.0271818661216524,1.92057490436956e-08
"211","Contra-indications for spirometry","ukb-b-19206",0.232663068022268,0.0414502733190122,1.98774176654324e-08
"212","Alcohol intake frequency.","ukb-b-5779",0.0950521901226375,0.0169565047503521,2.07477725750996e-08
"213","Use of sun/uv protection","ukb-b-7422",-0.163736368527099,0.0292375422673923,2.14092627963082e-08
"214","Exposure to tobacco smoke outside home","ukb-b-6244",0.254659867424243,0.0455247410966544,2.22052459708397e-08
"215","Chest pain or discomfort walking normally","ukb-b-11578",0.684969098969678,0.122488804122946,2.2434526749608e-08
"216","Diagnoses - secondary ICD10: Z53.8 Procedure not carried out for other reasons","ukb-b-9043",0.703228917560372,0.12642827812682,2.66279429474652e-08
"217","Impedance of arm (left)","ukb-b-19379",-0.151141184335549,0.0271847147267867,2.70106320120163e-08
"218","Treatment/medication code: amitriptyline","ukb-b-15666",0.765946958032744,0.137959206892447,2.8244956711531e-08
"219","Frequency of stair climbing in last 4 weeks","ukb-b-298",-0.118085154857637,0.0213699954875047,3.28089576043764e-08
"220","Frequency of unenthusiasm / disinterest in last 2 weeks","ukb-b-1419",0.206199193982953,0.0373356850014653,3.33554343484189e-08
"221","Average weekly beer plus cider intake","ukb-b-5174",0.210746747337973,0.0384246537775238,4.14229674411249e-08
"222","Alcohol intake versus 10 years previously","ukb-b-3460",0.224347289707302,0.0410445651865217,4.60450020920985e-08
"223","Number of full sisters","ukb-b-5593",0.184168371860972,0.0338935395186735,5.51877998984102e-08
"224","Diagnoses - main ICD10: I25.9 Chronic ischaemic heart disease, unspecified","ukb-b-3983",1.41854768773869,0.261106534298793,5.54669184348617e-08
"225","Non-cancer illness code, self-reported: depression","ukb-b-12064",0.505654005740856,0.0932306054697678,5.83807347396357e-08
"226","Number of correct matches in round","ukb-b-2084",-0.152288328431045,0.0280879252962124,5.89875946249715e-08
"227","Age stopped smoking","ukb-b-7138",0.258215943725128,0.0480719529823708,7.810736109891e-08
"228","Time to complete round","ukb-b-13823",0.146679178059605,0.0273120426608979,7.8520977866071e-08
"229","Invitation to physical activity study, acceptance","ukb-b-14649",-0.445921927845592,0.0831199001440272,8.10374100655699e-08
"230","Treatment/medication code: paracetamol","ukb-b-8147",0.333039831355859,0.0621766316174051,8.49197054884701e-08
